,label,review_clean
187,negative,kesal bukan karena mu tetapi persis dikalahkan pssm tidak enak hati tidak enak tidur tidak enak makan semua gara gara pssm 
188,neutral,isi pulsa via atm bca tadi jamsampai sekarang belum masuk boleh tolong dicek terima kasih
189,neutral,senin pagi gue diisi dengan kegiatan wawancara sebelum jalan ke lokasi gue harus memesan gojek dan suasana masih hujan 
190,positive,tempat yang paling cocok untuk mencari makanan kalau budget terbatas tetapi memuaskan di sini banyak sekali pilihannya dari mulai masakan khas dari daerah di indonesia sampai masakan modern 
191,negative,saya lihat banyak pengguna indosat terkena pemotongan pulsa kasihan 
192,positive,tempat yang sangat alami dengan menu yang variatif dengan rasa yang pas saya suka dengan bandrek jagungnya jagung yang manis disajikan sangat hangat ada aneka jajanan tradisional yang sudah jarang ditemui 
193,negative,bapak ini ngomongnya tidak masuk akal orang diculik kok malah memikirkan penculiknya teori dari mana itu 
194,positive,tempatnya besar openhari cocok buat ngemil tempat duduk sofanya nyaman sayang banyak mahasiswa yang mengerjakan tugas di sana jadi jarang kosong tempatnya kalau malam hehehe
195,negative,tidak untung saya ikut rombongan untuk pergi ke bali sangat membosankan
196,positive,walaupun cukup berliku untuk sampai ke tempat ini tapi terbayarkan dengan suasana sepi tenang dan juga suasana udara dataran tingginya yang kebetulan saya biasanya kalau makan di luar pasti pas hari kerja karena biar tidak terlalu ramai tapi ya minusnya tidak ada lift musik untuk makanannya cukup enak dan keluarga saya pun cukup menikmatinya 
197,positive,sangat cocok untuk bersantap bersama keluarga menikmati hidangan yang lezat sambil mengobrol melepas penat setelah seharian beraktivitas pokoknya terbaik deh
198,positive,datang ke restoran ini tidak ada bosannya apalagi di malam minggu kami sekeluarga sangat menyukai tempat ini karena ada live musiknya suasananya tidak berubah dari tahun ke tahun menu yang disajikan pun masih tetap sama dari mulai menu eropa sampai menu khas indonesia tetap memikat porsinya juga tak kalah banyak 
199,negative,kalau melihat muka orang ini bawaan emosi tingkat dewa
200,negative,masakan india menurut ku tidak enak terlalu banyak rempah
201,negative,kami sekeluarga ke tempat ini karena hari sudah larut malam dan tidak ada resto lain yang buka ternyata jammalam pun tempat ini masih macet parkir penuh dan tempat duduk di dalam resto penuh petugas yang tampak kelelahan melayani dengan masam ampun akhirnya makanan kami bawa ke hotel 
202,neutral,oh iya saya mau fitur cetak resi otomatis diperbaiki 
203,neutral,awal tahun ini bakti budaya djarum foundation bekerjasama dengan dan garin workshop
204,neutral,dengan membeli morinaga chil kid dan chil school senilai rpbunda akan mendapatkan voucher gopay rp
205,negative,saat ini para wisatawan pecinta diving sangat kecewa dengan kondisi teluk ambon yang nampak indah namun sangat kotor
206,positive,rekomendasi untuk makan siang ala indonesia pilihan makanannya banyak sekali tinggal tunjuk saja terbanyak yang bentuk gorengan misalnya empal ayam goreng tahu goreng dll peralatan makan yang dipakai yang ala model zaman dulu seperti piring seng gelas seng mengingatkan makan di zaman dahulu pelayanan cepat mantap
207,positive,tempatnya nyaman sangat windy tapi sejuk juga konsep tempatnya bagus vip roomnya keren sekali instagramable banget deh tempatnya cocok untuk nongkrong nongkrong bareng teman keluarga pacar makanannya juga not bad dan harganya juga terjangkau mbak kasirnya waktu itu ramah sekali 
208,negative,ini tua bangka sudah bau tanah kok tidak sadar sadar ya manusia terburuk yang paling busuk 
209,neutral,tak ada sunlight dan mama lemon garnier men turbo oil control pun jadi buat cuci tangan setelah masak alias licin cuy setelah kena minyak 
210,positive,batagor kingsley sangat lezat dan disukai oleh keluarga dan warga jakarta setiap kali pergi ke bandung keluarga dan teman teman selalu minta dibelikan batagor kingsley 
211,positive,kopi yang paling enak di sini adalah kopi alpukat dan kopi pisang kopi bercampur alpukat tidak membuat rasa kopi ini memudar sangat cocok di lidah saya sebagai pecinta kopi campuran jenis makanan yang disajikan pun lumayan enak favorit saya adalah kentang gorengnya untuk harga terjangkau 
212,neutral,dia ketahuan bikin indomie goreng jumbo padahal kan kalauitu tidak kenyang 
213,negative,saat mengunjungi rumah makan ini karena diajak rekan bisnis saya saat saya menikmati mie ini terasa memiliki citarasa yang nikmat sekali sayang saat itu mi saya terlalu asin sehingga mi yang seharusnya sangat nikmat tidak bisa saya rasakan untuk suasana tempat tergolong biasa biasa saja untuk harga tergolong sangat mahalmangkok mie harganya rp
214,negative,driver ini tidak mau pickup barang dari tadi siang mohon ditindaklanjuti 
215,negative,pagi yang melelahkan rasanya ingin diam saja
216,negative,bidang lo bukan di dunia politik oon 
217,negative,penasaran ingin dicoba ayam yang cukup terkenal itu siang itu sepi pesan ayam bakar ternyata ayam bakarnya pedas anak anak tidak bisa makan harusnya pelayan menanyakan mau pedas atau tidak karena adapilihan kemudian saya mintaayam bakar yang tidak pedas ampun ayamnya cuma seperti digoreng terus dilumuri kecap kami sudah hilang napsu makan 
218,positive,awalnya ragu dengan kecepatan pelayanan di sini tapi lumayan lah tepat waktu kok aku lupa pesan jus apa sepertinya jus campuran begitu oke sih dan makanannya juga ok ohya ini mereka kasi gratis es krim bisa dicoba tanya dengan pelayannya suka 
219,positive,saya ke bandung baru kemarin baru kesampaian makan di sini kami makan di the valley suki kenyang enak pelayan ramah dan pemandangannya keren kalau kita duduk dekat jendela ya dengan harga rporang sudah termasuk pajak kita bisa makan sepuasnya sistemnya seperti hanamasa tapi lebih asyik tempatnya 
220,positive,bingung mau makan ke mana yang tempatnya asik makanan enak dan harga terjangkau ke sini saja saya dan pasangan sangat menikmati pengunjung kebanyakan anak muda jadi ikutan merasa muda lagi 
221,positive,dari segi letak lokasi cukup mudah dicari bangunan dan isi bagian di dalamnya menarik apalagi ada taman kecil di dalamnya yang diisi juga dengan gentong yang airnya dibiatkan mengalir terus membuat suasananya jadi tambah romantis dan menyenangkan menu yang disajikan lumayan variatif dan dari segi rasa lumayan enak 
222,negative,menu sushi kurang banyak kalau bisa ada menu sushi dengan porsi kecilpotong harusnya ada pelengkap wasabi cabe bubuk jadi sebenarnya kurang istimewa 
223,neutral,baru pertama kali saya makan di warung ini bukan konsep kafe atau resto tapi tampil dengan warung makan yang menyajikan makanan tradisional 
224,positive,saya datang ke maxi s resto bersama keluarga ternyata di sana ada pesta pernikahan pesta ulang tahun sehingga tempat jadi penuh sekali pelayanannya jadi tidak baik seharusnya kalau tempat memang penuh pihak resto memberitahukan kepada tamu sebelum tamu memarkirkan kendaraan saat itu hujan deras jadi jarak tempat parkir ke resto lumayan jauh kalau perlu ditutup sementara selama pesta berlangsung 
225,neutral,telkom hackathon merupakan sebuah program besutan telkom indonesia yang bertujuan untuk mewadahi para generasi muda yang memiliki keahlian di bidang teknologi informasi maupun pemrograman untuk mengembangkan perusahaan rintisan yang mereka miliki 
226,negative,minumannya saya tidak ada yang suka ayam gorengnya biasa saja ada saus keju tapi saya tidak suka saus keju di sini tidak enak 
227,positive,resto keluarga yang sangat direkomendasikan pemandangan sekeliling resto yang sangat bagus pondok pondok yang nyaman makanan yang disajikan juga lumayan enak apalagi jika malam hari ini pemandangan resto sangat bagus
228,negative,saya mampir ke restoran ini untuk makan malam karena kebetulan lewat dalam perjalanan menuju hotel saya menginap dan karena sudah kelaperan dan saya dan teman akhirnya memilih untuk mampir di restoran ini rasa makanannya biasa saja bahkan kami diharuskan membayar terlebih dahulu meskipun kami belum selesai makan hanya karena jam sudah mendekati waktu tutup 
229,negative,kesan pertama menginap di sini check in tidak bisa jamsiang karena yang menginap sebelumnya terlambat check out tidak ada apa pun yang ditawarkan pihak staf saat kami harus selama satu jam menunggu kamar dibersihkan kemudian kami juga diberitahukan bahwa restoran tutup jamsore sehingga jika ingin memesan makanan untuk makan malam harus sebelum jamsore cukup menyebalkan 
230,positive,menikmati kota bandung tanpa kuliner kurang seru kafe halaman menyajikan makanan indonesia gado gadonya enak pisang goreng kejunya juga enak serta secangkir kopi sambil menunggu teman datang sangatlah menarik
231,negative,setuju makin naik fase wajar kalau tiket naik tapi harga dasar di saat fase penyisihan sudah kemahalan coba bandingkan harga menonton di malaysia thailand 
232,neutral,saya dan isteri tergoda untuk mengunjungi restoran ini saat kami sekeluarga berkunjung ke pontianak minggu lalu karena berdasarkan penilaian trip advisor abang kepiting merupakan restoran terpopuler di pontianak malam sekitar jamsaya dan isteri sudah sampai dan mendapati suasana restoran yang tidak terlalu ramai terisi sekitarmeja saja karena kami hanya berdua ingin berbincang 
233,positive,saya tiba di rumah makan ini pada saat menjelang jam makan siang awal saya tiba rumah makan ini hanya ada beberapa pengunjung yang sedang bersantap namun ketika tiba jam makan siang rumah makan ini penuh dengan para warga kota makassar banyaknya warga kota makassar yang tiba untuk makan siang menggambarkan bahwa tempat ini merupakan rumah makan favorit di kota makassar 
234,neutral,tiket waterboom pik jakarta dikabarkan naik
235,negative,lokasi agak jauh dari kota bandung dan sekarang adagerbang pembayaran untuk bisa ke the peak dengan totalrupiah ini seperti pemaksaan untuk pungutan liar karena anda tidak akan bisa ke the peak tanpa melewati kedua gerbang ini 
236,negative,data lengkap jangan percaya kpk ini bohong kasus ini di audittahun lalu dan sudah lengkap karena habis itu ada audit aliran dana dengan tujuan khusus kalau mau kan minta audit lagi sudahlah kasus century itu skandal melindungi elit tertentu 
237,positive,sangat dianjurkan masakan enak banget benar benar kita duduk di tempat saung yang di bagian atas pas jam jam matahari terbenam makan malam ditemani sunset deh dan itu baguus banget 
238,negative,rcti terlalu banyak iklan tidak jelas sangat menggangu
239,positive,baik selain wisata wahana saya juga suka wisata kuliner sejak saya di bandung kuliner yang paling saya buru adalah siomay dan batagor mungkin kalau batagor saya sudah akrab dengan batagor kingsley yang rasanya melegenda untuk urusan siomay rasanya tidak salah kalau traveler memanjakan perutnya di saung siomay ini seperti judulnya teksturnya lembut bumbunya juga pas kena banget 
240,positive,penyajian cukup cepat pelayanan baik dan pastinya masakan enak untuk harga relatif sesuai dengan rasa masakannya 
241,negative,mau marah sama indosat sudah dua hari sinyal begini banget
242,negative,sudah indosat bangkrut saja di tmpt ku saja sinyal tbkdg hilang muncul hilang muncul padahal daerah kota semarang
243,negative,transaksi beli pulsa pln pra bayar melalui mandiri mobile menjadi tidak efisien karena harus teleponuntuk dapat tidak tokennya tidak otomatis 
244,positive,tidak mesti di ruang tertutup buat pertemuan pertemuan di resto ini juga asik jangan lupa memesan nasi goreng dendeng sama teh tarik 
245,negative,samsung galaxy s sudah diluncurkan semalam saya kecewa desainnya standar banget harapan saya cuma terwujudpercuma terbawa sampai mimpi 
246,negative,sayang restorannya kotor lihat kecoa kecil di dekat piring piring sayur bersih yang dipakai untuk menyajikan makanan dan ada kecoa kecil juga di tempat duduknya berharap kebersihan tempat diperbaiki 
247,neutral,iya harganyaribu saya juga sudah cek tokopedia 
248,positive,senang rasanya dapat mengakhiri perjalanan kita di bandung dengan kunjungan terakhir kita berhenti di the valley pada tanggalnovember hari itu adalah acara dalam menrayakan hari perpisahan bersama teman kita yang baru akan pindah ke kantor baru menunya sangat bervariatif tetapi ribs langsung menjadi pilihan saya menurut saya harganya sebanding dengan rasa makanan top 
249,neutral,kapal km fungka permata v terbakar sedikitnyatewas
250,neutral,somasi yang dilayangkan rohayani seorang pecandu rokok kepada pt gudang garam tbk dan pt djarum belakangan memunculkan isu lain 
251,negative,pakai kartu kredit bca tidak untung malah rugi besar
252,positive,restoran ini bukan sekadar tempat makan biasa tapi juga bisa dijadikan tempat wisata lokasinya sangat dingin tempatnya juga bagus nyaman dengan pemandangan yang eye catching menu yang disediakan juga beragam dengan rasa yang enak tidak perlu menunggu lama dalam penyajian makanannya harga juga relatif terjangkau untuk tempat berfoto juga bagus 
253,positive,lokasi mudah dijangkau penataan restoran average menu makanan lumayan variatif dan rasa masakannya enak harga terjangkau
254,neutral,ya serba salah memang macet mengeluh tidak macet heran 
255,positive,rumah makan ini terletak di jalan abdurahman saleh tempatnya nyaman dan bersih menu masakannya banyak pilihannya rasanya cukup enak dan harganya juga sepadan dengan rasa masakannya 
256,negative,kadang mikir gimana ya rasanya jadi perempuan di gym banyak mas mas dan om om melihat pasti risih dan tidak nyaman 
257,positive,kami datang makan ke restoran itu mengajak keluarga kakak saya mereka semua sangat menyukai kualitas masakan di sini kami pesan udang goreng telor asin dan rasanya sangat enak dan melebihi kualitas resto di hotel bintang lima sangat direkomendasikan 
258,negative,pelayanan solaria sungguh tidak memuaskan hampir di seluruh cabang yang ada di jakarta tidak rekomendasi banget 
259,neutral,temanku melamar pekerjaan di tokopedia
260,neutral,bukan cuma bisnis keluarga tetapi menjaga kepentingan negara dan masyarakat tanpa membenturkannya dengan kepentingan global 
261,positive,terletak di daerah perbukitan sehingga udara dan pemandangannya sangat nyaman di samping itu terdapat berbagai pilihan menu makanan nusantara steak maupun pasta juga ada 
262,positive,baik terima kasih atas jawaban yang begitu lengkap dan jelas ya
263,positive,ayam gorengnya enak terong gorengnya juga sayang mau coba jengkol gorengnya sudah habis oh ya jus kefonfongnya juga segar 
264,negative,senin pagi memang selalu tidak bersahabat mulai dari pakai jilbab berantakan jalanan macet transjakarta arah senayan ramainya astaghfirullah absen telat lewat jamga ikut doa pagi 
265,negative,cemburu itu rasanya tidak enak cemburu itu makan hati cemburu itu sakit kalau tidak diungkapkan
266,positive,keunggulan holycow dibanding resto steak lain adalah wagyunya yang mantap favorit saya adalah wagyu sirloin steak yang dinikmati dengan mushroom sauce rasanya mantap dagingnya tebal dan dinikmati dengan butiran jagung rebus sayur bayam dan masih potatto enak dan mantap 
267,neutral,hai ditha kami informasikan bahwa pembayaran kamu telah masuk ke akun rekening kami namun pemesanan tidak berhasil 
268,neutral,cuma kalau besok mau mencari dia ada di rak yang dekat cream krim wardah bersebrangan sama rak lotion citra sister 
269,neutral,resto dengan konsep saungyang terletak di dalam komplek perumahan makanan yang disajikan beragam mulai dari sundanese makanan barat dll udara cukup dingin di malam hari atau ketika hujan jadi disarankan membawa jaket jalan antar saung menggunakan batu batu sehingga kadang kadang licin ketika hujan
270,positive,tempatnya nyaman banget makanannya enak kopinya enak pas buat nongkrong bareng teman teman atau makan malam 
271,negative,kalau kuota saya besok tidak balik saya mau marah marah ke indosat
272,positive,tempatnya nyaman makanan lumayan enak buat yang mau ngobrol lama lama cocok sekali ada banyak tempat lesehan nyaman banget plus udara yang sejuk 
273,positive,rasa makanan cukup enak lokasi cukup strategis dekat eskalator turun dan naik mal secara keseluruhan baik mantap 
274,neutral,hai ya silakan kamu dapat mencoba lakukan pembayaran pdam di bukalapak 
275,positive,enkaolshop terpercaya barangnya bagus bagus
276,negative,aslinya ini basa berada di jalan karapitan setahu saya sekarang memenag sudah tersebar di beberapa tempat di bandung makanannya juga tidak hanya bakso tetapi ada beberapa makanan tambahan yang lain untuk rasa juga tidak terlalu spesial untuk harga dengan ukuran harga bakso di bandung cukup mahal ditambah pelayannannya yang kurang bagus di ciwalk 
277,neutral,seharusnya masih berhak mendapatkan cahsbackj uta dengan cara berlangganan paket iplank selamabulan kak dan bisa juga cicilanmenggunakan cc bca bni mandiri cimb niaga 
278,positive,tidak menyesal juga makan di solaria tempatnya bersih dan cocok buat keluarga juga makanan cepat keluar setelah dipesan 
279,negative,copot dari keanggotaan polisi saja daripada jadi perusak nama baik korp 
280,negative,menyesal tadi ke toko itu malah beli hal hal yang tidak akan terpakai cuma karena lapar mata jadi beli 
281,negative,makan di pinggir jalan makanannya tidak enak pelayanan tidak bagus harga mahal 
282,neutral,untuk mengajukan kerjasama sponsorship ibu elsa dpt menghubungi pt bank mandiri persero tbk corporate secretary
283,positive,produksi lagi dong indomi goreng sate dicari cari sudah tidak ada rasanya enak beda dngan rasa sate merk lain
284,negative,pagi pagi ingin marah dengan sinyal telkomsel 
285,negative,antriannya lama makanannya juga lama dan rasa makanannya biasa saja dan mahal
286,negative,parah banget xl deh sekarang sepertinya harus ganti provider lain cuma mahal doang kualitas jelek
287,negative,kereta mutiara timur malam sby bnywangi eksekutif tetapi kursi jorok dan kotor sekali tidak sesuai dengan harga yang sangat mahal sangat mengecewakan
288,negative,saya memilih tempat makan di saung dengan pemandangan sawah memesan nasi timbel komplit surabi oncom dan colenak pesanan datang tidak harus menunggu lama hanya saja saya kecewa dengan serabinya di luar ekspektasi saya tidak enak 
289,negative,payah sekali pelayanan pos indonesia saat ini
290,negative,ini indihome saya gangguan lagi ini saya lagi ada kerjaan tiba tiba terputus merah kedip kedip baru seminggu baik wifinya sudah gangguan lagi indihome telkom sekarang banyak gangguan ya bayar selalu mahal mengecewakan sekali 
291,positive,menurut saya bebek garang ini punya varian menu bebek yang cukup banyak saya suka perpaduan antara bebek dan sambalnya rasanya pas untuk harga berkisarribu dan menurut saya cukup sepadan dengan rasa dari makanan di sini 
292,positive,cocok buat pertemuan acara pernikahan pemotretan suasananya tenang santai adem 
293,positive,setiap kali ke sini saya ingin berlama lama dan tidak mau pulang cepat pelayanan yang ramah dan tempat yang nyaman 
294,neutral,restoran ini menyajikan masakan bali yang sarat modifikasi sehingga terkesan disesuaikan dengan lidah konsumen yang nota bene bukan orang bali tiga photo yang saya lampirkan itu adalah makanan yang kami pesan 
295,positive,kalau di banyak tempat steak membutuhkan waktu lama sebelum penyajiannya di tempat ini menurut saya cenderung cepat dan sesuai dengan lidah maupun dengan dompet saya saya pernah menunggu teman sampaijam di sini tapi tidak berasa karena makanannya membuat saya lupa waktu hehe
296,neutral,kalau mau beli obat pergi saja ke kimia farma yang berada di ujung jalan itu
297,negative,pelajaran matematika anak sd sekarang sulit sulit
298,positive,restoran di sini selalu penuh karena letaknya yang strategis di pintu masuk mal rasa bubur cukup enak proses penyajian dari order sampai penghidangan juga cukup cepat 
299,negative,habisnya aku lagi galau kak maka dari itu bikin story kayak begitu
300,positive,untuk yang sedang ke cirebon dan cari tempat yang enak parkirnya dan makanannya butuh cepat lebih baik ke sini karena parkiran luas dan suasana nyaman
301,negative,mm sedih deh kalau ke sini selalu menunggu mienya pedas banget hehe bangkunya juga tambahkan dong biar tidak menunggu
302,negative,memang faktanya kami punya banyak tanah di sini mau apa lo maka dari itu kerja biar bisa banyak duit kayak kami kami jangan cuma bisanya menghujat saja
303,positive,restoran the valley ini pemandangan ke kota nya nomormenikmati suasana malam hari dengan lampu kedap kedip indah sekali 
304,positive,kalau ke semarang wajib makan mie kocok ini menurut saya paling enak walaupun tempatnya dipinggiran ruko dan untuk makannya mesti berusaha untuk dapatkan bangku tapi layak banget kalau dibandingkan rasanya kikilnya banyak kuahnya gurih banget dan mienya lebar dan tipis harganya juga terjangkau teh terbaik mie kocok di semarang 
305,negative,maling yang sebenarnya sudah di pastikan bernama lulung
306,negative,memang ya sepertinya aku tidak ditakdirkan nikmatin indomie goreng padahal cuma merebus minya lho bisa bisanya terlalu lembek 
307,neutral,nike mengeluarkan produk sepatu terbarunya
308,neutral,waktu saya ke restoran itu pelayannya mendatangi saya dan bertanya untuk berapa orang 
309,positive,roti bakar duti ini sudah ada sejak dulu di sini rotinya biasa saja sih hanya menu pilihannya buanyak banget apa saja ada sampe kadang bingung mau pilih yang isi apa ada jual bubur juga oke jugalah 
310,negative,kuota jadi habis terkuras buat melihat foto foto yang cuma bikin saya iri makanan enak enak yang bikin ngiler
311,positive,saya suka sekali makan di restoran ini menu masakannya beragam rasanya enak harganya tidak terlalu mahal 
312,positive,kurang pas apabila berkunjung ke bandung tanpa mencicipi batagor batagor burangrang adalah salah satu yang rasanya enak dan sausnya pun gurih 
313,negative,yang makan ramai antre menu masakan masakan standar seperti di rumah rasa biasa saja harga tidak sesuai kualitas rasa 
314,positive,saya bisa bilang ini adalah resto yang cocok untuk keluarga sambil istri saya belanja oleh oleh saya bisa menikmati makan siang di resto ini anak anak saya bisa bermain di tempat bermain dengan tiket yang murah 
315,positive,tempatnya ramai sekali makanan bervariasi desain dan lingkungan nyaman udara sejuk banyak tempat bermain anak 
316,neutral,baik kak berkenan menunggu untuk kendala pada provider telkomsel akan direspon oleh rekan kami 
317,negative,kasihan personil ungu sekarang sepi job gara gara ditinggal pasha
318,positive,kalau ada pulsa segudang akan mengaktifkan wifi buat semua orang biar bisa internetan
319,neutral,menkeu menyampaikan bahwa lemahnya rupiah lebih berpengaruh pada defisit transaksi berjalan
320,negative,pagi pagi di tol cipali sudah macet parah bikin jengkel saja ini
321,neutral,perihal pergantian rekening untuk pembayaran autodebet bpjs bapak luqman bisa datang ke kantor cabang bank mandiri pengajuan autodebet tersebut ya untuk dapat dilakukan tutup rekening terlebih dahulu 
322,neutral,mobil yang sehari hari dipakai jeje adalah merk toyota dan berwarna krem 
323,negative,suasana sawah dan pegunungan ada wine cellarnya tapi makanannya mahal mestinya kualitas bisa lebih baik karena banyak restoran serupa di bandung sekarang sudah menjamur
324,negative,paling kesal kalau ada orang mengobrol di jalan sambil motoran apalagi kalau jalannya sempit
325,negative,pelayanan kurang aktif dan tidak ramah serta kurang dapat menjelaskan menu makanan yang ada sehingga tamu merasa tidak diacuhkan dan didiamkan saja 
326,positive,restoran sangat bagus pemandangan menghadap ke kota bandar lampung sehingga sangat indah pada malam hari suasana sangat tenang dekorasi ruangan sangat cantik saya sangat suka tempat ini 
327,neutral,calon pelamar cpns hanya dapat mendaftar diinstansi danformasi jabatan
328,negative,makanan lumayan saya order spring roll agak oily harga hidangan utama cukup mahal bangunan unik tapi lokasi tidak terlalu bagus sehingga tempatnya selalu terlihat sepi saat order sebaiknya menyampaikannya lebih jelas sebab yang terjadi pada kami kami ordertapi menerimaitem pelayan sangat ramah tapi sikap kasirnya sedikit aneh mungkin saya tidak akan kembali lagi 
329,positive,ikan gurame bakar dan cah kangkung yang disajikan di red s dipo yang saya beli pada saat makan siang pada bulan novemberrasanya lumayan oke hanya saja cabe pada sambalnya dan sayurannya seperti timun tomat dan kangkungnya juga jeruk pada es jeruknya terasa kurang segar 
330,neutral,karya bakti bca finance posisi relationship officer membuka lowongan untuk penempatan pekanbaru
331,positive,makan bakso sambil ngobrol sama teman teman tempatnya asik buat makan harganya tidak terlalu mahal 
332,negative,di tengah proses hukum warga tamansari bandung hadapi tekanan penggusuran
333,positive,hari ini mau belanja di toko itu supaya bisa dapatkan peralatan masak keren plus kesempatan liburan ke belanda 
334,negative,jangankanjam ngeplay stories yang cuma beberapa detik saja loadingnya lama sekali indosat luar biasa 
335,positive,tidak bosan dan terkesima setiap datang ke congo kafe tempatnya tenang nyaman coba deh datang malam hari lebih romantis kalau bawa pasangan
336,positive,harganya sangat terjangkau dan menu makanannya cukup kekinian tempat makannya didekor dengan baik dan unik 
337,negative,tempatnya kurang bersih untuk pergi ke sana agak susah karena rawan macet jadi berpikir dua kali kalau mau kembali lagi 
338,negative,tim saya akan mengadakan makan malam tema di burgundy daripada tersesat saya dan sekretaris saya mencoba mengecek tempatnya dahulu sehari sebelumnya sekalian juga tes makanan perjalanannya jauh sekali dan naik turun bukit diperparah ketika kami ke sana itu hari minggu sore sehingga macet sesampainya di sana sih pemandangannya oke tapi layout restorannya biasa saja 
339,neutral,saya gunaka bb tipesaya mendapat info sejak kemarin dikenakan biaya gprs 
340,positive,handphone saya lenovo kecemplung di comberan pasminggu baru beli jatuh di aspal pas ngebut naik motor sampai isinya ke mana mana telepon genggam saya masih bertahan mantap memang lenovo 
341,positive,batagornya besar besar dan dagingnya terasa banget mantap deh bumbunya rasanya enak cocok kalau dijadikan menu untuk makanan ringan sore hari 
342,negative,sangat melelahkan malam ini 
343,neutral,saya sudah kirim email complaint karena telepon tidak masuk terus 
344,positive,porsinya banyak kepiting kisaranribu porsi udang bakarnya enak enak bumbunya penuh rempah harga dan rasanya bersaing dengan perahu seafood jalan sumatera 
345,neutral,rizal ramli beberkan cara stabilkan harga beras
346,negative,saya sebagai warga jakarta malu kang sama oknum yang tidak bertanggung jawab yang mau sweeping bobotoh
347,neutral,bali adalah salah satu pulau yang menjadi tujuan destinasi para turis 
348,positive,perjalanan kali ini dalam rangka urusan mencari tempat yang rekomendasi untuk klien kami jarak tempuh dari bandung kota cukup jauh memang tetapi hal tersebut bisa terbayar dengan pemandangan yang yang cantik di waktu malam dan makan malam dengan makanan dan pelayanan okay 
349,positive,lokasinya memang sedikit tersembunyi di sudut sebuah perumahan konsep tempatnya bagus seperti rumah di pedesaan eropa dengan lantai dan dinding kayu selain di dalam pengunjung bisa menikmati makanannya di kursi kursi di area taman yang unik menggunakan drum bekas 
350,neutral,kami menjual kabel hdmi premiummeter beligratisdi lapak rich com store 
351,negative,tidak mau tahu balikin pulsa saya ini namanya perampokan paket nelp kalian juga perampokan baru ini saya komplain 
352,neutral,daun memiliki berbagai jenis bentuk 
353,negative,saya dan keluarga mencoba bersantap di karamba resto karena sopir mobil sewa kami merekomendasikannya kami memang tiba di tempat agak malam sekitar pakaimeskipun restoran belum tutup atau bersiap siap akan tutup namun beberapa menu telah habis bahkan ibu dan suami saya memesan nasi timbel yang sayur asemnya sudah habis dan diganti sup sayur oleh pihak resto tidak banyak pilihan yang bisa kami pilih kurang rekomendasi 
354,neutral,berubah status jadi universitas bsi gelar seminar motivasi
355,positive,rumah makan zaman dahulu namun rasa tetap sama enaknya ayam dan nasi kreceknya enak sekali kadang saya sengaja beli untuk bungkus ke rumah
356,negative,agak kesal juga kalau tiap hari lewat sana melulu sempit dua arah macet sudah jadi makanan sehari hari
357,neutral,adikku diterima di teknik lingkungan itb
358,neutral,tolong cepat tindaklanjuti pengaduan saya sebelum korban meretas gopay jadi bertambah 
359,neutral,menu utama andalan mereka adalah ayam betutu yang dapat dipilih variasi rasanya mulai dari tidak pedas hingga sangat pedas selain ayam juga ada bebek betutu dengan variasi rasa yang sama 
360,positive,tidak pernah bisa bicara kata kata kasar ke pasangan walau tujuannya bercanda memang lagi marah banget karena saking respeknya saya ke dia
361,neutral,kemarin mereka mendaftar beasiswa djarum
362,neutral,kak adit aku pesan indominya satu
363,negative,oh iya diketerangan kan notepro kok yang dikirim noteya kecewa juragan
364,neutral,pria tabrak warga dengan mobil di prancisterluka
365,negative,saya penasaran pingin makan di sini ketika pesan suara mas masnya kecil sekali ampun deh tidak jelas bicara apa blubup blubup begitu haha saya memesan mi ayambaso ekstra pacar saya memesan bakso urat soun tidak lama datang pesanan pacar saya dan ternyata tidak sesuai ekspektasi 
366,neutral,teman saya bekerja di gojek
367,negative,ya saya sudah hubungi via halo bca namun terputus terus dan pulsa saya kepotong banyak kalau telepon berulang ulang 
368,positive,suasana sejuk hijau menyegarkan dan sangat cocok untuk refreshing saat kabur dari rutinitas untuk makanan yang mahal menurut saya bukan masalah karena lokasi yang bagus lebih penting 
369,negative,bosan dengan dunia ini yang penuh dengan kemunafikan
370,negative,orang sekarang kebanyakan sulit menghargai orang lain
371,negative,tempat ini mengimingi makan steak dan daging dengan harga murah namun kenyataannya tidak murah jika dibandingkan dengan kualitas dagingnya yang tidak enak dagingnya keras dan rasanya hambar 
372,negative,pagi sudah marah marah karena pelayanan di bank cabang sanur yang tidak professional dan mengecewakan tidak salah banyak penilaian customer jelek 
373,positive,pergi untuk makan siang bersamakeluarga yang terdiri dari orang dewasa dan anak anak kami mendapatkan saung yang jauh di atas kebayang dong jalan ke atas yang sangat melelahkan tempatnya memang bagus tapi lokasi saung yang sangat jauh dan melelahkan menuju ke atas saran saya kalau mau ke situ jangan pas makan siang karena pasti penuh harga makanan lumayan misil tapi pemandangannya bagus sekali 
374,positive,steiknya lumayanlah enak warung ini cocok buat pelajar atau mahasiswa hehehe karena harganya terjangkau untuk makanannya oke kok 
375,positive,menurut saya makan di sini porsinya banyak dan harganya murah terus makannya cepat datangnya lagi dan tempatnya juga bersih dan luas
376,neutral,orang indonesia itu butuh pemimpin visioner bukan penghibur 
377,positive,tong dji menyajikan aneka makan dan minuman tidak hanya teh yang direkomendasikan teh poci gula batunya dan nasi goreng
